name,path_to_cbg,price_old,price_new,words,usless,id
三月兔,https://patchwiki.biligame.com/images/dwrg/1/1f/oni8hmey6spb1ltv25je6dmwpd240pr.png,500,520,可小刀急出,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9302&order_by=price%20ASC,9302
黑白熊,https://patchwiki.biligame.com/images/dwrg/2/21/26serhdgj6n86a6uhdofm5yrn9kjdsa.png,261,275,看看宝子吧！砍砍价也行啊，但是我得看我能不能接受,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9309&order_by=price%20ASC,9309
点金,https://patchwiki.biligame.com/images/dwrg/c/c5/m49hl5ekddnavruoirk7hp9a6swyzsz.png,700,700,爱哭鬼古早限定点金，很多好看紫，猩红新娘，七海千秋，入间美兔，五月七日小羽。,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=8402&order_by=price%20ASC&refer_sn=0193F7D9-4433-7D94-53FE-C92D6D234F13,8402
当铺老板,https://patchwiki.biligame.com/images/dwrg/8/8a/6alp8y3g12zxdb3y10hfti5a56xtvo4.png,240,240,爱哭鬼医生双限定！司药	！当铺老板！江户川乱步！伊始新篇！祖祖！残花泪！缄默者！稻草人！逆刃之鞭！反骨之缚！朝圣者！黑天鹅之羽！熄灭的太阳！澄明的理性！年岁！骨笛	安宁,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=8418&order_by=price%20ASC,8418
逃罪之人,https://patchwiki.biligame.com/images/dwrg/3/30/90q12f5nz2nd3r4r63muexfz3pz72pc.png,450,330,前女友送的号 逃罪+挂件，有小女孩绝版头像和医生限定蓝皮+空军联动紫，急出回血，求求了同配置最低了球球了我想回血,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10802&order_by=price%20ASC,10802
舞狮,https://patchwiki.biligame.com/images/dwrg/2/2e/rrriltj85jjg59n4a347sjg1rde9d39.png,570,555,"半半可找七字，未至弱冠感桑榆
3号凌晨改价654慢挂
舞狮套，小恶魔套，限定挂件生日快乐",https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=1619&order_by=price%20ASC,1619
铁钩船长,https://patchwiki.biligame.com/images/dwrg/d/d1/mxunjn43juyytyln8j2c9qx558mquvh.png,370,410,没有生活费了，大副金挂还有40多抽就出来了，可以刀，急出，我真求你们了，快买吧，小刀可以，400以上我都直接同意，真的急出，希望还价后直接买,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9002&order_by=price%20ASC,9002
CROW,https://patchwiki.biligame.com/images/dwrg/2/2c/6eoevdxem2cxft4g503yvgfvqs9zcvw.png,480,370,明智吾郎觉醒 有金挂 只想快出 只让小刀 已经很低了,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9006&order_by=price%20ASC,9006
Checkmate,https://patchwiki.biligame.com/images/dwrg/8/81/dkkc4kdplzcvyovbco24pocmz23v8x3.png,398,360,很多紫薯，配套随身物品，很好的号,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10102&order_by=price%20ASC,10102
夜魔,https://patchwiki.biligame.com/images/dwrg/c/cd/2c4ylj1scw9mumsqrbuk1flvx11nbnv.png,666,600,夜魔单金+雕刻金挂，不会再降了,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10113&order_by=price%20ASC,10113
