name,path_to_cbg,price_old,price_new,words,usless,stock,0330_price,0330_price_avg3
三月兔,https://patchwiki.biligame.com/images/dwrg/1/1f/oni8hmey6spb1ltv25je6dmwpd240pr.png,888 ,888 ,三月兔，p5新娘，白孔雀，紫薯8000+，古早号，小惊喜多,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9302&order_by=price%20ASC,102,850,873
黑白熊,https://patchwiki.biligame.com/images/dwrg/2/21/26serhdgj6n86a6uhdofm5yrn9kjdsa.png,500 ,480 ,历史巅七,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9309&order_by=price%20ASC,804,448,449
点金,https://patchwiki.biligame.com/images/dwrg/c/c5/m49hl5ekddnavruoirk7hp9a6swyzsz.png,1200 ,1100 ,还有一张紫皮卡,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=8402&order_by=price%20ASC&refer_sn=0193F7D9-4433-7D94-53FE-C92D6D234F13,93,1250,1423
当铺老板,https://patchwiki.biligame.com/images/dwrg/8/8a/6alp8y3g12zxdb3y10hfti5a56xtvo4.png,555 ,550 ,还有1.3w紫薯,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=8418&order_by=price%20ASC,474,480,507
逃罪之人,https://patchwiki.biligame.com/images/dwrg/3/30/90q12f5nz2nd3r4r63muexfz3pz72pc.png,950 ,930 ,最低逃罪，挺多金挂，阁费真的很贵，恶意砍价拉黑,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10802&order_by=price%20ASC,927,900,949
舞狮,https://patchwiki.biligame.com/images/dwrg/2/2e/rrriltj85jjg59n4a347sjg1rde9d39.png,888 ,888 ,不降了，做慈善 先到先得，稀有物品+皮肤， 限定挂件烟花特效,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=1619&order_by=price%20ASC,147,1200,1450
铁钩船长,https://patchwiki.biligame.com/images/dwrg/d/d1/mxunjn43juyytyln8j2c9qx558mquvh.png,688 ,649 ,大副单金，万薯,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9002&order_by=price%20ASC,243,530,543
CROW,https://patchwiki.biligame.com/images/dwrg/2/2c/6eoevdxem2cxft4g503yvgfvqs9zcvw.png,800 ,830 ,低于780就不用还了 不急出,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=9006&order_by=price%20ASC,1059,840,857
Checkmate,https://patchwiki.biligame.com/images/dwrg/8/81/dkkc4kdplzcvyovbco24pocmz23v8x3.png,720 ,699 ,雕刻家宫廷风金皮，差25发保底金挂，还有9000+紫薯，窥镜有690，紫皮多，性价比高，适合自玩，现在买了还可以回去肝推理雕刻家紫皮。慢出,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10102&order_by=price%20ASC,243,688,696
夜魔,https://patchwiki.biligame.com/images/dwrg/c/cd/2c4ylj1scw9mumsqrbuk1flvx11nbnv.png,1200 ,1350 ,全网夜魔最低价~是很久没玩的小号，可以小刀哦，最低价——,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=10113&order_by=price%20ASC,243,1399,1399
炎火之怒,https://patchwiki.biligame.com/images/dwrg/1/16/oxx2jad77cl4b8imgnfa2o9pv2l9m75.png,870 ,900 ,全阁最低炎火之怒 段位低可以冲牌子,https://id5.cbg.163.com/cgi/mweb/pl?search_type=role&all_cloth_list__and=8002&order_by=price%20ASC,69,900,1033
