name,path_to_cbg,id
三月兔,https://patchwiki.biligame.com/images/dwrg/1/1f/oni8hmey6spb1ltv25je6dmwpd240pr.png,9302
黑白熊,https://patchwiki.biligame.com/images/dwrg/2/21/26serhdgj6n86a6uhdofm5yrn9kjdsa.png,9309
点金,https://patchwiki.biligame.com/images/dwrg/c/c5/m49hl5ekddnavruoirk7hp9a6swyzsz.png,8402
当铺老板,https://patchwiki.biligame.com/images/dwrg/8/8a/6alp8y3g12zxdb3y10hfti5a56xtvo4.png,8418
逃罪之人,https://patchwiki.biligame.com/images/dwrg/3/30/90q12f5nz2nd3r4r63muexfz3pz72pc.png,10802
舞狮,https://patchwiki.biligame.com/images/dwrg/2/2e/rrriltj85jjg59n4a347sjg1rde9d39.png,1619
铁钩船长,https://patchwiki.biligame.com/images/dwrg/d/d1/mxunjn43juyytyln8j2c9qx558mquvh.png,9002
CROW,https://patchwiki.biligame.com/images/dwrg/2/2c/6eoevdxem2cxft4g503yvgfvqs9zcvw.png,9006
Checkmate,https://patchwiki.biligame.com/images/dwrg/8/81/dkkc4kdplzcvyovbco24pocmz23v8x3.png,10102
“夜魔”,https://patchwiki.biligame.com/images/dwrg/c/cd/2c4ylj1scw9mumsqrbuk1flvx11nbnv.png,10113
炎火之怒,https://patchwiki.biligame.com/images/dwrg/1/16/oxx2jad77cl4b8imgnfa2o9pv2l9m75.png,8002
猎物的印记,https://patchwiki.biligame.com/images/dwrg/1/1c/2xo0t5skm3lrembier2ifb7on055p82.png,13503
白泽,https://patchwiki.biligame.com/images/dwrg/a/ae/j6smjkjculv35cbu9cnkndccr6pnr8p.png,12103
招风旗,https://patchwiki.biligame.com/images/dwrg/3/34/heb0beuxxbbllbirmp2g82fzmdz9iou.png,12108
巴萨丽莎,https://patchwiki.biligame.com/images/dwrg/b/b7/c19hxp39ejfzruvssvf9vifjupa5kzf.png,12902
永夜极光,https://patchwiki.biligame.com/images/dwrg/3/38/9y9x0nwxof0n4lpvrvk6h9qmhqepv7f.png,6332
壹原侑子,https://patchwiki.biligame.com/images/dwrg/a/a0/j9l4qu4k61yu4zqdw904dcfntvwqes9.png,6338
海神之冕,https://patchwiki.biligame.com/images/dwrg/8/81/kimalmsijtlyg42w1a2wt8sbpnm1pp8.png,6403
灾厄之主,https://patchwiki.biligame.com/images/dwrg/7/75/q090lem69xkohci504ivvesfxllh2ls.png,6422
赤宴,https://patchwiki.biligame.com/images/dwrg/4/4c/egkpliuvsfks0ur9ndwismwj8p5tiny.png,8502
黄金比例,https://patchwiki.biligame.com/images/dwrg/7/7b/mt8ghhjvi0nnsgoj8zcbku1tcuk0tjw.png,10402
纳西瑟斯,https://patchwiki.biligame.com/images/dwrg/e/e6/1ros1at5s9e0n2iowbvynfa9hk1hrpj.png,10410
灵狐,https://patchwiki.biligame.com/images/dwrg/2/27/frgdk3f99tn6wjgfa337bj5wvjwouzh.png,13902
邪眼寄主,https://patchwiki.biligame.com/images/dwrg/c/c2/c0u6os17fic0dorv9vl3p3bssixi986.png,120
艾札克·佛斯特,https://patchwiki.biligame.com/images/dwrg/2/28/hcfdpnipolypx6r20f4ndnzjdc7xtau.png,140
心锁,https://patchwiki.biligame.com/images/dwrg/c/cb/bd4qpe9hb44wxd7e24a27r32i3mu2vp.png,3440
明日之辉,https://patchwiki.biligame.com/images/dwrg/b/b1/7xj7lpwnzlk6gc6gun0zl2di9cljuol.png,6809
惊鸿,https://patchwiki.biligame.com/images/dwrg/1/1e/4ltyo4d4dmfihtbc76pgwwgg273psce.png,6839
名誉首席,https://patchwiki.biligame.com/images/dwrg/3/33/kuunca9fqq59ozx6ge1zkeill10em0z.png,6849
熔岩蛋糕,https://patchwiki.biligame.com/images/dwrg/0/0b/6sg3gmlyt1py3umztra70keba4wg1fc.png,10602
永恒,https://patchwiki.biligame.com/images/dwrg/b/b0/0emb2sdmwx6utpyz50pfnwjbrx617l2.png,12402
赤松枫,https://patchwiki.biligame.com/images/dwrg/a/ac/ho53wdnv9ltqclzrpe7148fo5cl2q7e.png,12405
寒香舞,https://patchwiki.biligame.com/images/dwrg/f/f0/bk211papu5sijra0lz8774916sz98w6.png,3227
菖蒲,https://patchwiki.biligame.com/images/dwrg/a/ab/mg1zotdt38wnhfq7stfi2pq7zcwx3g0.png,3237
引魂人,https://patchwiki.biligame.com/images/dwrg/6/69/pj7vmpe7dl6y82p2f5z33v2jmz8y5rd.png,8703
日向创,https://patchwiki.biligame.com/images/dwrg/1/1d/rvnx3ifd1bk02ia1ji8vhma7fbmowkn.png,8719
